section,cite,year,authors,title,venue,doi,url,type,cited_by,oa_url,establishes,relevance,key,tag
Cooperative bargaining theory,Kalai & Smorodinsky 1975,1975,Ehud Kalai; Meir Smorodinsky,Other Solutions to Nash's Bargaining Problem,Econometrica,10.2307/1914280,https://doi.org/10.2307/1914280,article,1817,,"Replaces IIA with individual monotonicity, selecting the solution that equalises fractions of maximum attainable gain.",The main alternative criterion. Systematically favours the party with the lower baseline.,kalai1975,barg
Cooperative bargaining theory,Kalai 1977,1977,Ehud Kalai,Proportional Solutions to Bargaining Situations: Interpersonal Utility Comparisons,Econometrica,10.2307/1913954,https://doi.org/10.2307/1913954,article,766,,"Axiomatises proportional/egalitarian solutions, dropping scale invariance in favour of interpersonal utility comparison.","The reference for any explicit entitlement or seniority weighting, and the natural fallback when the product criterion is undefined.",kalai1977,barg
Cooperative bargaining theory,Rubinstein 1982,1982,Ariel Rubinstein,Perfect Equilibrium in a Bargaining Model,Econometrica,10.2307/1912531,https://doi.org/10.2307/1912531,article,5398,,Alternating-offers game with discounting has a unique subgame-perfect equilibrium; its limit supports the Nash solution non-cooperatively.,"Establishes what must be true for a bargaining solution to be descriptive: players must actually make offers. If a committee decides, the criterion is normative instead.",rubinstein1982,barg
Cooperative bargaining theory,Binmore et al. 1990,1990,"Ken Binmore; Martin J. Osborne; Ariel Rubinstein; Binmore, Ken; Osborne, Martin J.; Rubinstein, Ariel",Noncooperative Models of Bargaining,RePEc: Research Papers in Economics,10.22004/ag.econ.275482,https://doi.org/10.22004/ag.econ.275482,preprint,107,https://hdl.handle.net/2027.42/100631,Survey of non-cooperative bargaining models and the conditions under which they justify cooperative solution concepts.,Background for the descriptive-versus-normative distinction. Record type is a working paper; the canonical version is the Handbook chapter.,binmore1990,barg
Cooperative bargaining theory,Thomson 1994,1994,William Thomson,Chapter 35 Cooperative models of bargaining,Handbook of game theory and economic applications,10.1016/s1574-0005(05)80067-0,https://doi.org/10.1016/s1574-0005%2805%2980067-0,book-chapter,136,https://www.sciencedirect.com/science/article/pii/S1574000505800670/pdf,"Handbook survey of cooperative bargaining: axioms, solutions, and the relations among them.",Best single citation for positioning one criterion against the family.,thomson1994,barg
Cooperative bargaining theory,CollardWexler et al. 2018,2018,Allan Collard‐Wexler; Gautam Gowrisankaran; Robin S. Lee,“Nash-in-Nash” Bargaining: A Microfoundation for Applied Work,Journal of Political Economy,10.1086/700729,https://doi.org/10.1086/700729,article,188,https://repository.arizona.edu/bitstream/10150/632522/1/700729.pdf,"Provides microfoundations for 'Nash-in-Nash' bargaining used in applied IO, clarifying what the bilateral-product assumption requires.",Template for stating what a bargaining assumption buys and costs in an applied model.,collardwexler2018,barg
Cooperative bargaining theory,Warren 2025,2025,Micah Warren,Continuum Nash bargaining solutions,Nonlinear Differential Equations and Applications NoDEA,10.1007/s00030-025-01118-7,https://doi.org/10.1007/s00030-025-01118-7,article,1,,"Characterises the Nash bargaining solution over a continuum of goods; at a zero disagreement point the solution is an optimal-transport map, so the boundary is a Laguerre-cell tessellation.","Independent corroboration of the d=(0,0) baseline, and the natural route to N>2 wholesalers: semi-discrete transport gives Laguerre cells, contiguous by construction.",warren2025,barg
Bargaining on non-convex / discrete sets,Mariotti 1998,1998,Marco Mariotti,Nash bargaining theory when the number of alternatives can be finite,Social Choice and Welfare,10.1007/s003550050114,https://doi.org/10.1007/s003550050114,article,57,,Develops bargaining theory when the alternative set is finite rather than convex.,"The correct citation for a discrete allocation set, where the classical axioms deliver a lottery rather than a point.",mariotti1998,ncvx
Bargaining on non-convex / discrete sets,Xu & Yoshihara 2005,2005,Yongsheng Xu; Naoki Yoshihara,Alternative characterizations of three bargaining solutions for nonconvex problems,Games and Economic Behavior,10.1016/j.geb.2005.09.003,https://doi.org/10.1016/j.geb.2005.09.003,article,34,https://hit-u.repo.nii.ac.jp/record/2051878/files/070resDP_126.pdf,"Characterises Nash, Kalai-Smorodinsky and egalitarian solutions on non-convex problems.",Companion to Mariotti; needed if a nonzero baseline is retained on a discrete feasible set.,xu2005,ncvx
Fair division and maximum Nash welfare,Eisenberg & Gale 1959,1959,E. Eisenberg; David Gale,Consensus of Subjective Probabilities: The Pari-Mutuel Method,The Annals of Mathematical Statistics,10.1214/aoms/1177706369,https://doi.org/10.1214/aoms/1177706369,article,426,https://projecteuclid.org/journals/annals-of-mathematical-statistics/volume-30/issue-1/Consensus-of-Subjective-Probabilities-The-Pari-Mutuel-Method/10.1214/aoms/1177706369.pdf,"The Eisenberg-Gale convex program, whose optimum is the product-of-utilities allocation.",Why maximising a product of linear utilities is a well-behaved convex problem; the mathematical ancestor of the log-concavity argument.,eisenberg1959,fd
Fair division and maximum Nash welfare,Varian 1974,1974,Hal R. Varian,"Equity, envy, and efficiency",Journal of Economic Theory,10.1016/0022-0531(74)90075-1,https://doi.org/10.1016/0022-0531%2874%2990075-1,article,1030,http://hdl.handle.net/1721.1/63490,Defines envy-freeness and relates equity to efficiency in allocation.,Origin of the envy criterion that EF1 relaxes.,varian1974,fd
Fair division and maximum Nash welfare,Thomson 2011,2011,William Thomson,Fair Allocation Rules,Handbook of social choice and welfare,10.1016/s0169-7218(10)00021-3,https://doi.org/10.1016/s0169-7218%2810%2900021-3,book-chapter,242,http://hdl.handle.net/10535/4160,Handbook survey of fair allocation rules and their axiomatic characterisations.,Reference work for choosing and defending a fairness criterion.,thomson2011,fd
Fair division and maximum Nash welfare,Lee 2017,2017,Euiwoong Lee,APX-hardness of maximizing Nash social welfare with indivisible items,Information Processing Letters,10.1016/j.ipl.2017.01.012,https://doi.org/10.1016/j.ipl.2017.01.012,article,16,https://arxiv.org/pdf/1507.01159,Maximising Nash social welfare with indivisible items is APX-hard.,"Explains why exhaustive validation stops at small n, and why exact solvability here is a property of special structure rather than of the problem.",lee2017,fd
Fair division and maximum Nash welfare,Cole & Gkatzelis 2018,2018,Richard Cole; Vasilis Gkatzelis,Approximating the Nash Social Welfare with Indivisible Items,SIAM Journal on Computing,10.1137/15m1053682,https://doi.org/10.1137/15m1053682,article,101,,First constant-factor approximation for maximising Nash social welfare with indivisible items.,Establishes the computational standing of the criterion; cite alongside the hardness result.,cole2018,fd
Fair division and maximum Nash welfare,Caragiannis et al. 2019,2019,Ioannis Caragiannis; David Kurokawa; Hervé Moulin; Ariel D. Procaccia; Nisarg Shah; Junxing Wang,The Unreasonable Fairness of Maximum Nash Welfare,ACM Transactions on Economics and Computation,10.1145/3355902,https://doi.org/10.1145/3355902,article,294,https://dl.acm.org/doi/pdf/10.1145/3355902,"Maximum Nash welfare (product of utilities, zero baseline) over indivisible goods is Pareto efficient and envy-free up to one good.",The theorem that licenses an EF1 claim. It requires a ZERO baseline; subtracting a constant from each utility voids the guarantee.,caragiannis2019,fd
Fair division and maximum Nash welfare,Moulin 2019,2019,Hervé Moulin,Fair Division in the Internet Age,Annual Review of Economics,10.1146/annurev-economics-080218-025559,https://doi.org/10.1146/annurev-economics-080218-025559,article,97,https://www.annualreviews.org/doi/pdf/10.1146/annurev-economics-080218-025559,"Accessible survey of fair division, including maximum Nash welfare and its fairness guarantees.",The citation to hand a non-specialist or a committee.,moulin2019,fd
Fair division and maximum Nash welfare,Amanatidis et al. 2023,2023,Georgios Amanatidis; Haris Aziz; Georgios Birmpas; Aris Filos-Ratsikas; Bo Li; Hervé Moulin; Alexandros A. Voudouris; Xiaowei Wu,Fair division of indivisible goods: Recent progress and open questions,Artificial Intelligence,10.1016/j.artint.2023.103965,https://doi.org/10.1016/j.artint.2023.103965,article,90,https://doi.org/10.1016/j.artint.2023.103965,"Current survey of fair division of indivisible goods: EF1, EFX, MMS, and open problems.",Fastest route to the state of the art and to what is still unresolved.,amanatidis2023,fd
Strategic misreporting,Crawford & Varian 1979,1979,Vincent P. Crawford; Hal R. Varian,Distortion of preferences and the Nash theory of bargaining,Economics Letters,10.1016/0165-1765(79)90118-6,https://doi.org/10.1016/0165-1765%2879%2990118-6,article,60,,Agents can gain by misrepresenting preferences to a bargaining solution; the Nash solution is manipulable.,The reference for reporting incentives. Matters only where inputs are self-reported; cite to establish that the question was considered.,crawford1979,manip
Mixed-integer nonlinear programming,Kronqvist et al. 2018,2018,Jan Kronqvist; David E. Bernal; Andreas Lundell; Ignacio E. Grossmann,A review and comparison of solvers for convex MINLP,Optimization and Engineering,10.1007/s11081-018-9411-8,https://doi.org/10.1007/s11081-018-9411-8,article,302,https://doi.org/10.1007/s11081-018-9411-8,"Benchmarks solvers for convex mixed-integer nonlinear programs, including outer-approximation methods.","Supports the claim that a concave objective over a MILP-representable set is the tractable class, and guides solver choice.",kronqvist2018,minlp
Mixed-integer nonlinear programming,Sahinidis 2019,2019,Nikolaos V. Sahinidis,Mixed-integer nonlinear programming 2018,Optimization and Engineering,10.1007/s11081-019-09438-1,https://doi.org/10.1007/s11081-019-09438-1,article,132,https://link.springer.com/content/pdf/10.1007/s11081-019-09438-1.pdf,"Survey of mixed-integer nonlinear programming: formulations, algorithms, software.",General MINLP citation for methods sections.,sahinidis2019,minlp
